Name;Position;Country;Club;Rating0;Rating1;Rating2;Rating3;Rating4;Rating5;Rating6;Tip
BENZEMA;ST;ФРАНЦИЯ;РЕАЛ МАДРИД;90;79;88;84;85;37;77;GOLD
LEWANDOWSKI;ST;ПОЛЬША;БАРСЕЛОНА;91;74;91;80;85;42;82;GOLD
MBAPPE;ST;ФРАНЦИЯ;ПСЖ;90;96;88;74;90;32;78;GOLD
DE BRUYNE;CM;БЕЛЬГИЯ;МАНЧЕСТЕР СИТИ;92;78;90;95;89;75;79;GOLD
MESSI;CAM;АРГЕНТИНА;ПСЖ;92;85;92;93;92;76;79;GOLD
SALAH;RW;ЕГИПЕТ;ЛИВЕРПУЛЬ;90;89;89;81;90;44;73;GOLD
VAN DIJK;CB;НИДЕРЛАНДЫ;ЛИВЕРПУЛЬ;88;77;50;70;99;89;89;GOLD
RONALDO;ST;ПОРТУГАЛИЯ;МАНЧЕСТЕР СИТИ;87;73;85;73;79;30;79;GOLD
COURTOIS;GK;БЕЛЬГИЯ;РЕАЛ МАДРИД;90;84;89;75;90;46;88;GOLD
NEUER;GK;ГЕРМАНИЯ;БАВАРИЯ;90;89;89;92;90;60;92;GOLD
NEYMAR JR;CAM;БРАЗИЛИЯ;ПСЖ;91;89;90;89;93;55;68;GOLD
SON;LW;ЮЖНАЯ КОРЕЯ;ТОТТЕНХЭМ;90;87;91;84;87;43;69;GOLD
MANE;LM;СЕНЕГАЛ;БАВАРИЯ;89;90;82;82;88;66;78;GOLD
KIMMICH;CDM;ГЕРМАНИЯ;БАВАРИЯ;91;87;80;92;87;87;85;GOLD
CASEMIRO;CDM;БРАЗИЛИЯ;МАНЧЕСТЕР ЮНАЙТЕД;90;73;83;84;78;87;89;GOLD
ALISSON;GK;БРАЗИЛИЯ;ЛИВЕРПУЛЬ;89;84;82;85;87;53;85;GOLD
KANE;ST;АНГЛИЯ;ТОТТЕНХЭМ;90;73;92;86;85;49;85;GOLD
EDERSON;GK;БРАЗИЛИЯ;МАНЧЕСТЕР СИТИ;89;87;82;93;89;65;88;GOLD
KANTE;CDM;ФРАНЦИЯ;ЧЕЛСИ;88;70;63;72;80;87;83;GOLD
OBLAK;GK;СЛОВЕНИЯ;АТЛЕТИКО МАДРИД;85;85;88;76;88;45;85;GOLD
HAALAND;ST;НОРВЕГИЯ;МАНЧЕСТЕР СИТИ;93;94;96;86;84;67;91;GOLD
KROOS;CM;ГЕРМАНИЯ;РЕАЛ МАДРИД;87;50;81;89;80;71;67;GOLD
MARQUINHOS;CB;БРАЗИЛИЯ;ПСЖ;88;78;57;75;73;90;79;GOLD
MODRIC;CM;ХОРВАТИЯ;РЕАЛ МАДРИД;88;70;75;90;89;70;64;GOLD
CANCELO;LB;ПОРТУГАЛИЯ;МАНЧЕСТЕР СИТИ;90;87;87;90;86;87;80;GOLD
RUBEN DIAS;CB;ПОРТУГАЛИЯ;МАНЧЕСТЕР СИТИ;89;77;53;80;77;90;87;GOLD
DONNARUMMA;GK;ИТАЛИЯ;ПСЖ;89;91;85;81;90;54;87;GOLD
BERNARDO SILVA;CAM;ПОРТУГАЛИЯ;МАНЧЕСТЕР СИТИ;89;83;84;85;92;75;77;GOLD
TER STEGEN;GK;ГЕРМАНИЯ;БАРСЕЛОНА;87;85;83;87;89;50;81;GOLD
NAVAS;GK;КОСТА-РИКА;ПСЖ;85;86;80;71;85;51;85;GOLD
FABINHO;CDM;БРАЗИЛИЯ;ЛИВЕРПУЛЬ;86;65;68;79;77;87;80;GOLD
MULLER;CAM;ГЕРМАНИЯ;БАВАРИЯ;88;73;87;84;82;77;73;GOLD
RODRI;CDM;ИСПАНИЯ;МАНЧЕСТЕР СИТИ;87;58;73;79;79;83;83;GOLD
MAIGMAN;GK;ФРАНЦИЯ;МИЛАН;87;85;82;85;88;50;84;GOLD
RUDIGER;CB;ГЕРМАНИЯ;РЕАЛ МАДРИД;88;83;66;74;69;89;86;GOLD
ROBERTSON;LB;ШОТЛАНДИЯ;ЛИВЕРПУЛЬ;86;78;77;82;81;80;73;GOLD
KOULIBALY;CB;СЕНЕГАЛ;ЧЕЛСИ;87;84;59;66;70;90;83;GOLD
DE JONG;CM;НИДЕРЛАНДЫ;БАРСЕЛОНА;88;87;84;85;87;77;76;GOLD
VERRATTI;CM;ИТАЛИЯ;ПСЖ;87;74;73;87;91;78;65;GOLD
GORETZKA;CM;ГЕРМАНИЯ;БАВАРИЯ;88;80;84;85;83;84;88;GOLD
ALEXANDER-ARNOLD;RB;АНГЛИЯ;ЛИВЕРПУЛЬ;84;74;70;80;78;71;72;GOLD
LLORIS;GK;ФРАНЦИЯ;ТОТТЕНХЭМ;86;88;83;75;86;62;83;GOLD
DE GEA;GK;ИСПАНИЯ;МАНЧЕСТЕР ЮНАЙТЕД;84;84;77;73;85;50;78;GOLD
VINICIUS JR;LW;БРАЗИЛИЯ;РЕАЛ МАДРИД;90;95;87;83;93;54;76;GOLD
NKUNKU;CF;ФРАНЦИЯ;РБ ЛЕЙПЦИГ;89;93;89;84;89;66;78;GOLD
MARTINEZ;ST;АРГЕНТИНА;ИНТЕР;86;83;82;75;86;49;86;GOLD
MENDY;GK;СЕНЕГАЛ;ЧЕЛСИ;82;80;81;80;80;32;79;GOLD
DYBALA;CF;АРГЕНТИНА;РОМА;88;85;87;89;90;53;65;GOLD
LAPORTE;CB;ИСПАНИЯ;МАНЧЕСТЕР СИТИ;87;63;53;75;72;89;81;GOLD
STERLING;RW;АНГЛИЯ;ЧЕЛСИ;88;92;80;83;90;39;67;GOLD
TRAPP;GK;ГЕРМАНИЯ;АЙНТРАХТ;87;84;82;83;87;54;86;GOLD
MAHREZ;RW;ПАКИСТАН;МАНЧЕСТЕР СИТИ;86;81;83;80;89;45;62;GOLD
IMMOBILE;ST;ИТАЛИЯ;ЛАЦИО;83;79;83;68;73;43;70;GOLD
COMAN;LM;ФРАНЦИЯ;БАВАРИЯ;88;93;90;85;92;70;71;GOLD
LUKAKU;ST;БЕЛЬГИЯ;ИНТЕР;84;80;78;75;77;37;78;GOLD
MILINKOVIC-SAVIC;CAM;СЕРБИЯ;ЛАЦИО;87;77;84;83;83;80;85;GOLD
THIAGO SILVA;CB;БРАЗИЛИЯ;ЧЕЛСИ;88;44;59;83;75;90;75;GOLD
BARELLA;CM;ИТАЛИЯ;ИНТЕР;85;80;78;82;82;77;80;GOLD
BRUNO FERNANDES;CAM;ПОРТУГАЛИЯ;МАНЧЕСТЕР ЮНАЙТЕД;88;79;88;89;83;75;78;GOLD
BROZOVIC;CDM;ХОРВАТИЯ;ИНТЕР;86;70;73;80;81;83;78;GOLD
PAREJO;CM;ИСПАНИЯ;ВИЛЬЯРЕАЛ;84;51;81;87;78;70;67;GOLD
ALABA;CB;АВСТРИЯ;РЕАЛ МАДРИД;86;8;70;82;80;86;78;GOLD
SKRINIAR;CB;СЛОВАКИЯ;ИНТЕР;85;76;40;61;70;86;84;GOLD
SZCZESNY;GK;ПОЛЬША;ЮВЕНТУС;88;88;84;77;89;54;89;GOLD
GUNDOGAN;CM;ГЕРМАНИЯ;МАНЧЕСТЕР СИТИ;87;67;83;86;86;78;73;GOLD
THEO HERNANDEZ;LB;ФРАНЦИЯ;МИЛАН;86;91;77;78;85;83;82;GOLD
SOMMER;GK;ШВЕЙЦАРИЯ;БОРУССИЯ М;86;79;82;83;89;49;89;GOLD
FODEN;LW;АНГЛИЯ;МАНЧЕСТЕР СИТИ;88;88;86;82;89;63;69;GOLD
DIOGO JOTA;CF;ПОРТУГАЛИЯ;ЛИВЕРПУЛЬ;83;81;80;73;81;55;78;GOLD
SCHICK;ST;ЧЕХИЯ;БАЙЕР;81;78;79;68;78;34;69;GOLD
POGBA;CM;ФРАНЦИЯ;ЮВЕНТУС;83;65;75;82;83;59;74;GOLD
MORENO;ST;ИСПАНИЯ;ВИЛЬЯРЕАЛ;81;78;79;77;81;44;73;GOLD
JORGINHO;CM;ИТАЛИЯ;ЧЕЛСИ;86;64;69;88;83;77;76;GOLD
REUS;CAM;ГЕРМАНИЯ;БОРУССИЯ ДОРМУНД;86;70;87;85;84;61;69;GOLD
ASPAS;ST;ИСПАНИЯ;СЕЛЬТА;81;81;83;77;83;31;61;GOLD
WALKER;RB;АНГЛИЯ;МАНЧЕСТЕР СИТИ;87;92;77;85;86;82;83;GOLD
SULE;CB;ГЕРМАНИЯ;БОРУССИЯ ДОРМУНД;86;73;53;68;61;87;85;GOLD
KOSTIC;LM;СЕРБИЯ;ЮВЕНТУС;85;84;79;82;82;69;79;GOLD
PEDRI;CM;ИСПАНИЯ;БАРСЕЛОНА;86;83;76;84;87;70;75;GOLD
VARDY;ST;АНГЛИЯ;ЛЕСТЕР СИТИ;84;82;81;71;77;55;69;GOLD
GNABRY;RM;ГЕРМАНИЯ;БАВАРИЯ;87;87;88;85;90;59;73;GOLD
DE LIGT;CB;НИДЕРЛАНДЫ;БАВАРИЯ;86;81;63;67;73;87;89;GOLD
JORDI ALBA;LB;ИСПАНИЯ;БАРСЕЛОНА;84;80;73;80;81;83;67;GOLD
DEPAY;ST;НИДЕРЛАНДЫ;БАРСЕЛОНА;82;77;82;80;83;33;76;GOLD
FEKIR;CAM;ФРАНЦИЯ;БЕТИС;83;85;81;80;85;36;78;GOLD
SERGIO BUSQUETS;CDM;ИСПАНИЯ;БАРСЕЛОНА;84;39;66;77;77;80;66;GOLD
GULACSI;GK;ВЕНГРИЯ;РБ ЛЕЙПЦИГ;85;85;84;76;85;43;83;GOLD
AUBAMEYANG;ST;ГАБОН;ЧЕЛСИ;84;83;85;77;75;45;72;GOLD
CARRASCO;LM;БЕЛЬГИЯ;АТЛЕТИКО МАДРИД;83;85;81;79;84;56;67;GOLD
ACUNA;LB;АРГЕНТИНА;СЕВИЛЬЯ;87;82;84;87;87;83;85;GOLD
JOAO FELIX;CF;ПОРТУГАЛИЯ;АТЛЕТИКО МАДРИД;84;84;82;83;85;37;65;GOLD
BELLINGHAM;CAM;АНГЛИЯ;БОРУССИЯ ДОРМУНД;87;85;84;85;86;80;81;GOLD
ODEGAARD;CAM;НОРВЕГИЯ;АРСЕНАЛ;84;76;77;87;84;63;70;GOLD
VLAHOVIC;ST;СЕРБИЯ;ЮВЕНТУС;85;80;85;71;80;43;81;GOLD
BEN YEDDER;ST;ФРАНЦИЯ;МОНАКО;84;81;84;79;87;43;67;GOLD
MOUNT;CAM;АНГЛИЯ;ЧЕЛСИ;85;79;83;86;85;61;68;GOLD
HAKIMI;RB;МАРОККО;ПСЖ;85;89;80;83;83;82;82;GOLD
RICE;CDM;АНГЛИЯ;ВЕСТ ХЭМ ЮНАЙТЕД;85;77;75;75;77;83;84;GOLD
GREALISH;LB;АНГЛИЯ;МАНЧЕСТЕР СИТИ;83;75;77;81;84;43;68;GOLD
THIAGO;CM;ИСПАНИЯ;ЛИВЕРПУЛЬ;83;61;72;84;85;72;69;GOLD
KEWELL;LW;АВСТРАЛИЯ;EPL;85;86;83;87;89;61;72;HEROES
DZEKO;ST;БОСНИЯ И ГЕРЦОГОВИНА;ИНТЕР;84;71;81;69;78;53;79;GOLD
DAVIES;LB;КАНАДА;БАВАРИЯ;87;95;73;81;90;80;80;GOLD
HRADECKY;GK;ФИНЛЯНДИЯ;БАЙЕР;82;83;75;67;85;39;80;GOLD
LITMANEN104;CAM;ФИНЛЯНДИЯ;ICONS;89;81;88;83;83;35;63;ICONS
LITMANEN105;CAM;ФИНЛЯНДИЯ;ICONS;87;82;88;70;82;30;61;ICONS
LITMANEN106;ST;ФИНЛЯНДИЯ;ICONS;83;73;80;81;77;30;58;ICONS
JAMES;RM;УЭЙЛЬС;ФУЛХЭМ;80;90;73;72;80;54;73;GOLD
BALE;RW;УЭЙЛЬС;ЛОС-АНЖЕЛЕС;79;73;81;79;79;60;63;GOLD
KVARATSKHELIA;CAM;ГРУЗИЯ;НАПОЛИ;87;87;84;89;89;68;73;GOLD
MAMARDASHVILI;GK;ГРУЗИЯ;ВАЛЕНСИЯ;78;79;79;75;80;50;79;GOLD
PARTEY;CDM;ГАНА;АРСЕНАЛ;85;67;73;83;81;81;84;GOLD
ABEDI PELE;CAM;ГАНА;Ligue1;89;91;84;88;92;54;70;HEROES
PUSKAS113;ST;ВЕНГРИЯ;ICONS;94;92;97;92;91;43;74;ICONS
PUSKAS114;ST;ВЕНГРИЯ;ICONS;92;90;94;90;90;43;73;ICONS
PUSKAS115;CF;ВЕНГРИЯ;ICONS;90;88;92;85;90;43;72;ICONS
ORBAN;CB;ВЕНГРИЯ;РБ ЛЕЙПЦИГ;81;63;51;70;59;85;80;GOLD
KEANE;ST;ИРЛАНДИЯ;EPL;86;87;88;77;87;49;73;HEROES
BOUNOU;GK;МАРОККО;СЕВИЛЬЯ;86;86;84;80;87;40;86;GOLD
ZIYECH;RW;МАРОККО;ЧЕЛСИ;84;80;82;84;84;61;73;GOLD
MAZRAOUI;RB;МАРОККО;БАВАРИЯ;84;86;78;78;83;79;78;GOLD
AMRABAT;CDM;МАРОККО;ФИОРЕНТИНА;85;79;84;87;89;88;89;GOLD
JIMENEZ;ST;МЕКСИКА;ВУЛВЕРХЕМПТОН;82;80;83;84;84;49;78;GOLD
CORONA;RW;МЕКСИКА;СЕВИЛЬЯ;83;84;74;81;84;74;71;GOLD
LOZANO;RW;МЕКСИКА;НАПОЛИ;84;91;84;81;83;46;73;GOLD
CAMPOS;GK;МЕКСИКА;MLS;87;93;83;81;90;84;80;HEROES
WOOD;ST;НОВАЯ ЗЕЛАНДИЯ;НЬЮ КАСЛ ЮНАЙТЕД;77;63;79;64;73;47;81;GOLD
YASHIN127;GK;РОССИЯ;ICONS;96;97;91;77;98;64;97;ICONS
YASHIN128;GK;РОССИЯ;ICONS;94;95;89;75;96;62;95;ICONS
YASHIN129;GK;РОССИЯ;ICONS;92;93;87;73;94;60;93;ICONS
MOSTOVOI;CAM;РОССИЯ;LaLiga;86;78;83;87;89;64;79;HEROES
GOLOVIN;LM;РОССИЯ;МОНАКО;82;81;79;79;84;66;73;GOLD
MIRANCHUK;CAM;РОССИЯ;ТОРИНО;80;77;75;77;81;43;70;GOLD
LUNEV;GK;РОССИЯ;БАЙЕР;77;77;74;69;80;57;75;GOLD
IBRAHIMOVIC;ST;ШВЕЦИЯ;МИЛАН;83;47;86;79;76;39;70;GOLD
KULUSEVSKI;RW;ШВЕЦИЯ;ТОТТЕНХЭМ;83;80;82;80;84;61;77;GOLD
ISAK;ST;ШВЕЦИЯ;НЬЮ КАСЛ ЮНАЙТЕД;82;84;81;70;84;38;69;GOLD
CALHANOGLU;CM;ТУРЦИЯ;ИНТЕР;84;71;83;87;86;71;71;GOLD
MALINOVSKYI;CAM;УКРАИНА;АТАЛАНТА;82;76;82;83;62;67;79;GOLD
ZINCHENKO;LB;УКРАИНА;АРСЕНАЛ;84;75;77;84;84;85;74;GOLD
DEMPSEY;CAM;США;MLS;85;82;86;82;86;52;77;HEROES
PULISIC;LW;США;ЧЕЛСИ;84;88;79;78;88;51;73;GOLD
MCKENNIE;CM;США;ЮВЕНТУС;83;85;79;78;83;81;80;GOLD
FORLAN;ST;УРУГВАЙ;LaLiga;88;86;91;80;86;63;75;HEROES
VALVERDE;CM;УРУГВАЙ;РЕАЛ МАДРИД;86;88;86;83;85;80;82;GOLD
ARAUJO;CB;УРУГВАЙ;БАРСЕЛОНА;81;75;49;62;59;80;82;GOLD
GIMENEZ;CB;УРУГВАЙ;АТЛЕТИКО МАДРИД;81;70;43;55;59;84;81;GOLD
NUNEZ;ST;УРУГВАЙ;ЛИВЕРПУЛЬ;85;90;86;73;79;47;87;GOLD
